ID,GBH_12m,Sex,EthnicAppearance_cleaned,Age,InitialRisk,Known 1,Known 2,ProceedingsType,Crimes in pre,DV in Pre
12202,No,M,Afro-Caribbean,17,H,Boy/Girlfriend,Ex,Charge/further charge,1,0
12376,No,M,Afro-Caribbean,20,S,Boy/Girlfriend,Current,Charge/further charge,2,0
12567,No,M,Afro-Caribbean,21,S,Boy/Girlfriend,Ex,Second time charged,1,0
12222,No,M,Afro-Caribbean,22,M,Boy/Girlfriend,Current,Second time charged,1,0
12480,Yes,M,Arab,23,S,Boy/Girlfriend,Current,Charge/further charge,2,0
8897,No,M,Asian,35,S,Boy/Girlfriend,Ex,Charge/further charge,0,0
8897,No,M,Asian,37,S,Boy/Girlfriend,Current,Charge/further charge,0,0
1364,No,M,Asian,20,M,Boy/Girlfriend,Ex,Charge/further charge,0,0
11774,No,M,Asian,25,S,Boy/Girlfriend,Ex,Charge/further charge,0,0
5447,No,M,Asian,31,M,Partner/Spouse,Current,Charge/further charge,0,0
8147,No,M,Asian,31,S,Boy/Girlfriend,Current,Adult caution,0,0
11756,No,F,Asian,31,S,Boy/Girlfriend,Ex,Charge/further charge,0,0
9180,No,M,Asian,32,M,Boy/Girlfriend,Ex,Charge/further charge,0,0
12259,No,F,Asian,33,S,Boy/Girlfriend,Current,Charge/further charge,0,0
11853,No,M,Asian,14,Unknown,Boy/Girlfriend,Ex,Charge/further charge,0,0
7369,No,M,Asian,26,M,Boy/Girlfriend,Ex,Charge/further charge,0,0
8285,No,M,Asian,40,M,Partner/Spouse,Current,Charge/further charge,0,0
11377,No,M,Asian,21,M,Boy/Girlfriend,Ex,Charge/further charge,0,0
11937,No,F,Asian,21,S,Boy/Girlfriend,Current,Charge/further charge,0,0
337,No,M,Asian,24,H,Boy/Girlfriend,Ex,Charge/further charge,1,1
12637,No,F,Asian,33,S,Partner/Spouse,Ex,First time charged,0,0
11197,No,F,Asian,36,M,Partner/Spouse,Current,Adult caution,0,0
5588,No,M,Asian,37,M,Partner/Spouse,Current,Charge/further charge,2,2
5588,No,M,Asian,42,S,Boy/Girlfriend,Current,Charge/further charge,2,2
11862,No,M,Asian,43,M,Partner/Spouse,Current,Charge/further charge,0,0
10957,No,M,Asian,54,S,Partner/Spouse,Current,Charge/further charge,0,0
129,No,M,Asian,12,Unknown,Boy/Girlfriend,Current,Youth Conditional Caution,0,0
12319,No,M,Asian,15,Unknown,Boy/Girlfriend,Ex,First time charged,1,0
6418,No,F,Asian,16,S,Boy/Girlfriend,Current,Charge/further charge,0,0
12253,No,M,Asian,16,S,Boy/Girlfriend,Ex,Third and subsequent time charged,0,0
11901,No,F,Asian,17,M,Boy/Girlfriend,Ex,Charge/further charge,1,0
12146,Yes,M,Asian,17,Unknown,Boy/Girlfriend,Current,First time charged,0,0
4951,No,M,Asian,18,S,Boy/Girlfriend,Current,Charge/further charge,0,0
12109,No,F,Asian,19,M,Boy/Girlfriend,Current,Charge/further charge,0,0
11532,No,M,Asian,19,Unknown,Boy/Girlfriend,Ex,Summons,0,0
736,Yes,M,Asian,20,H,Boy/Girlfriend,Current,Charge/further charge,0,0
4487,No,M,Asian,20,M,Partner/Spouse,Ex,Charge/further charge,0,0
4487,No,M,Asian,20,M,Partner/Spouse,Ex,Charge/further charge,0,0
5860,No,M,Asian,20,M,Boy/Girlfriend,Current,Charge/further charge,0,0
9064,No,M,Asian,20,M,Boy/Girlfriend,Current,Charge/further charge,0,0
12033,No,M,Asian,20,M,Boy/Girlfriend,Current,Charge/further charge,0,0
11734,No,M,Asian,20,S,Partner/Spouse,Current,Charge/further charge,0,0
12453,No,M,Asian,21,M,Boy/Girlfriend,Current,Charge/further charge,0,0
356,No,M,Asian,21,H,Boy/Girlfriend,Current,Charge/further charge,6,0
356,No,M,Asian,21,H,Boy/Girlfriend,Current,Charge/further charge,6,0
