Offender_isMale,Offender_ethnicAppearance,Offender_Age,DASH_Assessment,AccHowKnown,Known 1,Known 2,ProceedingsType,Previous_Crimes,Crimes in pre 1,Previous_DV,DV in Pre 1
0,6,42.0,2,4,0,1,0,42.0,0,42.0,0
1,6,40.0,2,4,0,1,3,40.0,0,40.0,0
0,3,21.0,1,0,0,0,5,21.0,1,21.0,0
0,3,62.0,0,0,0,0,7,62.0,1,62.0,0
0,4,25.0,1,1,0,1,0,25.0,0,25.0,0
0,6,45.0,1,0,0,0,0,45.0,0,45.0,0
1,3,18.0,1,4,0,1,0,18.0,0,18.0,0
0,7,35.0,1,0,0,0,1,35.0,1,35.0,1
0,6,29.0,1,1,0,1,0,29.0,0,29.0,0
1,2,22.0,1,4,0,1,0,22.0,0,22.0,0
0,7,34.0,1,2,1,1,0,34.0,0,34.0,0
1,7,32.0,2,6,1,1,0,32.0,0,32.0,0
0,3,30.0,2,0,0,0,0,30.0,0,30.0,0
0,6,48.0,1,0,0,0,0,48.0,0,48.0,0
0,6,43.0,0,0,0,0,0,43.0,0,43.0,0
0,6,52.0,2,15,1,0,0,52.0,0,52.0,0
0,6,41.0,1,0,0,0,3,41.0,0,41.0,0
0,3,32.0,1,0,0,0,0,32.0,0,32.0,0
0,6,57.0,0,2,1,1,0,57.0,0,57.0,0
0,5,34.0,3,1,0,1,7,34.0,0,34.0,0
1,7,24.0,0,4,0,1,0,24.0,1,24.0,1
0,3,21.0,0,0,0,0,0,21.0,0,21.0,0
0,7,40.0,1,2,1,1,0,40.0,0,40.0,0
0,6,44.0,1,1,0,1,0,44.0,0,44.0,0
0,5,35.0,1,6,1,1,0,35.0,0,35.0,0
0,7,49.0,2,1,0,1,0,49.0,1,49.0,0
0,3,43.0,2,0,0,0,0,43.0,0,43.0,0
0,2,46.0,0,0,0,0,0,46.0,0,46.0,0
0,3,30.0,0,2,1,1,0,30.0,0,30.0,0
1,6,35.0,2,4,0,1,3,35.0,0,35.0,0
0,6,33.0,1,0,0,0,2,33.0,0,33.0,0
1,6,50.0,1,4,0,1,0,50.0,0,50.0,0
0,3,27.0,1,1,0,1,0,27.0,0,27.0,0
0,6,52.0,2,2,1,1,3,52.0,0,52.0,0
0,6,63.0,1,2,1,1,0,63.0,0,63.0,0
0,3,44.0,2,0,0,0,0,44.0,0,44.0,0
1,6,41.0,2,1,0,1,0,41.0,0,41.0,0
0,6,45.0,1,1,0,1,0,45.0,0,45.0,0
1,6,32.0,2,6,1,1,0,32.0,0,32.0,0
1,2,17.0,2,3,0,0,0,17.0,1,17.0,0
0,3,21.0,0,0,0,0,0,21.0,0,21.0,0
0,7,55.0,1,1,0,1,7,55.0,0,55.0,0
