ID,GBH_12m,Sex,EthnicAppearance_cleaned,Age,InitialRisk,AccHowKnown,Known 1,Known 2,ProceedingsType,Crimes in pre,Crimes in pre 1,DV in Pre,DV in Pre 1
12202,No,M,Afro-Caribbean,17,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,1,Yes,0,No
12376,No,M,Afro-Caribbean,20,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,2,Yes,0,No
12567,No,M,Afro-Caribbean,21,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Second time charged,1,Yes,0,No
12222,No,M,Afro-Caribbean,22,M,Boyfriend of victim,Boy/Girlfriend,Current,Second time charged,1,Yes,0,No
12480,Yes,M,Arab,23,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,2,Yes,0,No
8897,No,M,Asian,35,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
8897,No,M,Asian,37,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
1364,No,M,Asian,20,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
11774,No,M,Asian,25,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
5447,No,M,Asian,31,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
8147,No,M,Asian,31,S,Boyfriend of victim,Boy/Girlfriend,Current,Adult caution,0,No,0,No
11756,No,F,Asian,31,S,Ex Girlfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
9180,No,M,Asian,32,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
12259,No,F,Asian,33,S,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
11853,No,M,Asian,14,Unknown,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
7369,No,M,Asian,26,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
8285,No,M,Asian,40,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11377,No,M,Asian,21,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
11937,No,F,Asian,21,S,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
337,No,M,Asian,24,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,1,Yes,1,Yes
12637,No,F,Asian,33,S,Ex Wife of victim,Partner/Spouse,Ex,First time charged,0,No,0,No
11197,No,F,Asian,36,M,Wife of victim,Partner/Spouse,Current,Adult caution,0,No,0,No
5588,No,M,Asian,37,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,2,Yes,2,Yes
5588,No,M,Asian,42,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,2,Yes,2,Yes
11862,No,M,Asian,43,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
10957,No,M,Asian,54,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
129,No,M,Asian,12,Unknown,Boyfriend of victim,Boy/Girlfriend,Current,Youth Conditional Caution,0,No,0,No
12319,No,M,Asian,15,Unknown,Ex Boyfriend of victim,Boy/Girlfriend,Ex,First time charged,1,Yes,0,No
6418,No,F,Asian,16,S,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
12253,No,M,Asian,16,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Third and subsequent time charged,0,No,0,No
11901,No,F,Asian,17,M,Ex Girlfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,1,Yes,0,No
12146,Yes,M,Asian,17,Unknown,Boyfriend of victim,Boy/Girlfriend,Current,First time charged,0,No,0,No
4951,No,M,Asian,18,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
12109,No,F,Asian,19,M,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
11532,No,M,Asian,19,Unknown,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Summons,0,No,0,No
736,Yes,M,Asian,20,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
4487,No,M,Asian,20,M,Ex Husband of victim,Partner/Spouse,Ex,Charge/further charge,0,No,0,No
4487,No,M,Asian,20,M,Ex Husband of victim,Partner/Spouse,Ex,Charge/further charge,0,No,0,No
5860,No,M,Asian,20,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
9064,No,M,Asian,20,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
12033,No,M,Asian,20,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
11734,No,M,Asian,20,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
12453,No,M,Asian,21,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
356,No,M,Asian,21,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,6,Yes,0,No
356,No,M,Asian,21,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,6,Yes,0,No
7771,No,M,Asian,21,S,Boyfriend of victim,Boy/Girlfriend,Current,Adult caution,0,No,0,No
7806,Yes,F,Asian,21,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
8224,No,F,Asian,21,S,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
